57,70,67,67,67,68,67,67,67,68,68,67,67,67,68,67,67,67,69,57
57,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,69
70,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,54
59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,54
59,-1,-1,-1,-1,42,44,44,47,-1,-1,-1,-1,-1,-1,-1,-1,42,43,45
46,43,47,-1,-1,66,68,68,71,-1,-1,42,44,44,47,-1,-1,54,57,57
68,67,71,-1,-1,-1,-1,-1,-1,-1,-1,66,68,68,71,-1,-1,66,67,68
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,56,55
44,44,43,43,43,44,43,43,43,44,44,43,43,43,44,43,43,43,44,44
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
